Area,Name,Address,Rating,Total Reviews,Phone Number,Website,Price Level,Google Maps URL,Opening Hours,Description
Clifton,Afridi Inn Clifton,"Block 4 Clifton, Karachi",4,523,0345 6000039,http://www.afridiinn.com/,2,https://maps.google.com/?cid=5431049282147166598,"Monday: 6:00 PM – 1:00 AM, Tuesday: 6:00 PM – 1:00 AM, Wednesday: 6:00 PM – 1:00 AM, Thursday: 6:00 PM – 1:00 AM, Friday: 6:00 PM – 1:00 AM, Saturday: 6:00 PM – 1:00 AM, Sunday: 6:00 PM – 1:00 AM",
Clifton,Casa Villa,"Plot D 74, Clifton Block 4 Of, 26th Street, Block 4 Clifton, Karachi",4.1,1090,0300 5972313,,3,https://maps.google.com/?cid=6731766021048122904,"Monday: 12:00 PM – 3:00 AM, Tuesday: 12:00 PM – 3:00 AM, Wednesday: 12:00 PM – 3:00 AM, Thursday: 12:00 PM – 3:00 AM, Friday: 12:00 PM – 3:00 AM, Saturday: 12:00 PM – 3:00 AM, Sunday: 12:00 PM – 3:00 AM",
Clifton,E Street Mews Cafe,"F42 E St, Block 4 Clifton, Karachi",4.1,1586,0336 1636397,https://facebook.com/estreetmews/about/?mt_nav=1,3,https://maps.google.com/?cid=2288054967603730667,"Monday: 8:00 AM – 12:00 AM, Tuesday: 8:00 AM – 12:00 AM, Wednesday: 8:00 AM – 12:00 AM, Thursday: 8:00 AM – 12:00 AM, Friday: 8:00 AM – 12:00 AM, Saturday: 8:00 AM – 12:00 AM, Sunday: 8:00 AM – 12:00 AM",
Clifton,Irish Night,"Bunglow D، 151 Astrik St, Block A Clifton, Karachi",4.1,563,(021) 35148201,http://fb.com/irishnightpakistan,4,https://maps.google.com/?cid=9517143057876269713,"Monday: 11:00 AM – 1:30 AM, Tuesday: 11:00 AM – 1:30 AM, Wednesday: 11:00 AM – 1:30 AM, Thursday: 11:00 AM – 1:30 AM, Friday: 11:00 AM – 1:30 AM, Saturday: 11:00 AM – 1:30 AM, Sunday: 11:00 AM – 12:00 AM",
Clifton,Del Frio,"plot number 7, Com3 Tower, com3 mall, Service Ln, Karachi",4.1,2864,(021) 111 454 647,http://www.delfrio.com.pk/,2,https://maps.google.com/?cid=5911814517737311372,"Monday: 8:00 AM – 12:30 AM, Tuesday: 8:00 AM – 12:30 AM, Wednesday: 8:00 AM – 12:30 AM, Thursday: 8:00 AM – 12:30 AM, Friday: 8:00 AM – 12:30 AM, Saturday: 8:00 AM – 12:30 AM, Sunday: 8:00 AM – 12:30 AM",
Clifton,Nawab's Dynasty Restaurant,"Plot-1C, lane- 1, Zamzama Commercial Area Defence V DHA, Karachi, Karachi",4,1864,0300 2733343,https://nawabsdynasty.pk/,3,https://maps.google.com/?cid=9083640659220695519,"Monday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Tuesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Wednesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Thursday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Friday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Saturday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM, Sunday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM",
Clifton,Spicy One,"1، plot#18، Shop#1 chapal arcade, Sea View Rd، hyperstar, Block 4 Clifton, Karachi",4.1,447,(021) 35879012,http://www.facebook.com/spicyoneclifton,2,https://maps.google.com/?cid=15281396524532530774,"Monday: 11:00 AM – 4:00 AM, Tuesday: 11:00 AM – 4:00 AM, Wednesday: 11:00 AM – 4:00 AM, Thursday: 11:00 AM – 4:00 AM, Friday: 11:00 AM – 4:00 AM, Saturday: 11:00 AM – 5:00 AM, Sunday: 11:00 AM – 4:00 AM",
Clifton,Maxims Restaurant,"A9، hassan homes، nehr-e-khayyam, Block 5 Clifton, Karachi",3.9,501,(021) 35865813,,3,https://maps.google.com/?cid=8590744825903108427,"Monday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Tuesday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Wednesday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Thursday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Friday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Saturday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM, Sunday: 12:30 – 4:00 PM, 7:30 PM – 12:00 AM",
Clifton,Baithak,"R2GG+J99 Boat Basin, Khayaban-e-Saadi، Block 5 Clifton, Karachi",3.9,908,0302 2643753,,2,https://maps.google.com/?cid=681418787663354635,"Monday: 7:00 AM – 12:00 AM, Tuesday: 7:00 AM – 12:00 AM, Wednesday: 7:00 AM – 12:00 AM, Thursday: 7:00 AM – 12:00 AM, Friday: 7:00 AM – 12:00 AM, Saturday: 6:00 AM – 12:00 AM, Sunday: 6:00 AM – 12:00 AM",
Clifton,rowtisserie,"8-C 14th St, Khayaban-e-Shamsheer, DHA Phase 5 Stadium Commercial Area Defence V Defence Housing Authority, Karachi",4.3,955,(021) 111 769 769,http://www.rowtisserie.com/,2,https://maps.google.com/?cid=16197448026847015652,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 1:00 AM, Saturday: 12:00 PM – 1:00 AM, Sunday: 12:00 PM – 12:00 AM",
